Está en la mesa.	It's on the table.
¿Está él aquí de verdad?	Is he really here?
¿Hay un cuadro en la pared?	Is there a picture on the wall?
¿Hay graves problemas con ello?	Are there any serious problems with it?
¿Es esta mi última oportunidad?	Is this my last chance?
Hay un señor en el pasillo.	There's a gentleman in the hall / corridor.
¿Por qué hay una rana en mi despacho?	Why is there a frog in my office?
¿Hay una respuesta a esta pregunta?	Is there an answer to this question?
No hay leche en esta botella.	There isn't any milk in this bottle.
No hay ratas en mi ciudad.	There aren't any rats in my city.
¿Por qué no estás listo todavía?	Why aren't you ready yet?
Hay una gran tormenta en el norte.	There's a big storm in the north.
Hay algunos soldados con él.	There are some soldiers with him.
¿Hay una forma especial?	Is there a special way?
Hay solamente una forma: la mía.	There's only one way: mine.
¿Por qué hay sólo una forma?	Why is there only one way?
¿Por qué es tu forma la única forma?	Why's your way the only way?
Porque siempre tengo razón.	Because I'm always right.
Porque nunca me equivoco.	Because I'm never wrong.
¿Hay una persona para este puesto?	Is there a person for this job?
¿Está él cualificado para el puesto?	Is he qualified for the job?
Hay una razón para todo.	There's a reason for everything.
Hay algunos anuncios, pero no muchos.	There are some ads, but not many.
Hay veces en las cuales es necesario.	There are times in which it's necessary.
¿Es necesario ahora?	Is it necessary now?
Hay solo una posibilidad.	There's only one possibility.
Te toca a ti.	It's your turn.
Hay agua en el vaso.	There's (some) water in the glass.
Hay hielo en el congelador.	There's (some) ice in the freezer.
Pero hay un problema con eso.	But there's a problem with that.
¿Cuál es?	What is it?
Es duro para mí ser sincero.	It's hard for me to be sincere.
Hay una cola bastante larga.	There's a pretty long line / queue.
Hay un líquido extraño en el vaso.	There's a strange liquid in the glass.
Hay un buen programa en la tele.	There's a good show on TV.
Hay buenos y malos en todas las películas.	There are good guys and bad guys in every movie.
Hay una chica en tu coche.	There's a girl in your car.
Hay una niña allí.	There's a little girl over there.
Hay canciones de todas las épocas.	There are songs from every age.
Hay muchos problemas.	There are a lot of problems.
No hay muchas mujeres aquí.	There aren't many women here.
¿Hay muchos árboles?	Are there many trees?
Las cifras están bien.	The figures are okay.
Hay mucha gente aquí.	There are a lot of people here.
Hay sal en la mesa.	There's some salt on the table.
¿Hay pan en la bolsa?	Is there any bread in the bag?
Hay solo unos cuantos.	There are only a few.
Hay una carretera no lejos.	There's a highway / main road not far away.
Hay días cuando es fácil.	There are days when it's easy.
Hay bancos a lo largo de la orilla del río.	There are benches along the river bank.
Hay unos cajones en mi mesa de trabajo.	There are some drawers in my desk.
No hay mucha gente como él.	There aren't many people like him.
Hay un perro en la puerta (de valla).	There's a dog at the gate.
¿De quién es el perro?	Whose dog is it?
Es del Sr. Bruno.	It's Mr Bruno's.
Es el señor cuyo hijo es poeta.	He's the man whose son is a poet.
¿Por qué hay problemas como este?	Why are there problems like this?
Hay uno aquí.	There's one here.
Hay otro allí.	There's another one over there.
Este es mío y el otro es de él.	This one's mine and the other one's his.
No hay muchos hombres como él.	There aren't many men like him.
Hay muchos niños como ellos.	There are a lot of children like them.
¿Hay mujeres en tu empresa?	Are there any women in your company?
No hay juguetes en la caja.	There aren't any toys in the box.
Su hija (de ellos) se llama Elsie.	Their daughter's name is Elsie.
Su habitación (de ella) está junto a la de su hermano.	Her room's next to her brother's.
Hay alguien en la puerta.	There's someone at the door.
No hay nadie en la puerta.	There's no one at the door.
Hay tiempo de sobra para eso.	There's plenty of time for that.
Hay alguien fuera.	There's someone outside.
Creo que es el Sr. Brown.	I think it's Mr Brown.
¿Estás seguro de que es él?	Are you sure it's him?
Por supuesto que sí.	Of course I am.
¿Está con alguien?	Is he with someone?
Hay una mujer alta con él.	There's a tall woman with him.
Hay otra gente también.	There are some other people too.
Hay una foto de él en casa.	There's a picture of him at home.
Hay un tractor en medio.	There's a tractor in the way.
No hay tiempo para eso.	There isn't any time for that.
Solo hay una manera: la mía.	There's only one way: mine.
No hay leones en Noruega.	There aren't any lions in Norway.
Hay unas herramientas en esa caja.	There are some tools in that box.
No hay sistema de calefacción en esta oficina.	There is no heating system in this office.
¿Por qué hay gente como él?	Why are there people like him?
Hay mucho dinero para ella.	There's a lot of money for her.
Hay un hombre allí, ¿no?	There's a man there, isn't there?
¿Hay vino en la estantería?	Is there any wine on the shelf?
El vestido de la mujer es de París.	The woman's dress is from Paris.
¿Cuáles son sus intenciones? (de él)	What are his intentions?
Hay varias razones, una de las cuales es importante.	There are several reasons, one of which is important.
Hay algo extraño aquí.	There's something strange here.
Hay tiempo, pero no mucho.	There's (some) time, but not much.
Hay anuncios, pero no muchos.	There are (some) ads, but not many.
Ve a la puerta.	Go to the door.
Ven a mi lado.	Come and sit / stand next to me.
Hazlo ahora.	Do it now.
Quédate allí.	Stay there.
Estate preparado.	Be prepared.
Para el motor.	Stop the engine.
Empiece ahora mismo.	Start right now.
Dame una oportunidad.	Give me a chance.
Enséñame tu carné.	Show me your ID card.
Cómelo con las manos.	Eat it with your hands.
No lo bebas.	Don't drink it.
No la mires.	Don't look at her.
Búscalas.	Look for them.
Espérame.	Wait for me.
No lo hagas todavía.	Don't do it yet.
Ábrelo con cuidado.	Open it carefully.
No lo cierres.	Don't close it.
No seas como ellos.	Don't be like them.
Llévalo a la cocina.	Take it to the kitchen.
Tráelo inmediatamente.	Bring it immediately.
Escríbalo con este bolígrafo.	Write it with this pen.
No lo leas aún.	Don't read it yet.
Dígale usted lo siguiente:	Tell him the following:
No les pidas nada.	Don't ask them for anything.
Hazle una pregunta.	Ask him a question.
No hables tanto.	Don't talk so much.
Habla despacio cuando estés conmigo.	Speak slowly when you're with me.
Grábelo con esta máquina.	Record it with this machine.
Escúchame con mucho cuidado.	Listen to me very carefully.
Ten cuidado.	Be careful.
Métalo en la caja allí.	Put it in the box over there.
No ponga sus pies en la mesa.	Don't put your feet on the table.
Cuente hasta diez.	Count to ten.
Lléveme al aeropuerto.	Take me to the airport.
Llévalo con ambas manos.	Carry it with both hands.
No lleves puesta esa corbata.	Don't wear that tie.
Tómate dos aspirinas y acuéstate.	Take two aspirins and go to bed.
No intentes leer en la cama.	Don't try to read in bed.
No tardes.	Don't be late.
No trabajes tanto.	Don't work so much.
Descansa unos minutos.	Rest for a few minutes.
Léelo primero y después fírmalo.	Read it first and then sign it.
Lávalo y sécalo.	Wash it and dry it.
Siéntate, por favor.	Sit down, please.
Tome asiento, por favor.	Have a seat, please.
Levántese, por favor.	Get up, please.
Estudia la lección con más cuidado.	Study the lesson more carefully.
No andes tan deprisa.	Don't walk so fast.
No te tires al agua.	Don't jump into the water.
Prueba esta comida; es muy buena.	Try this food, it's very good.
No juegues con eso.	Don't play with that.
No toques la comida.	Don't touch the food.
Despiértate.	Wake up.
Despiértale.	Wake him up.
Estúdialo con mucho cuidado.	Study it very carefully.
Apréndelo cuanto antes.	Learn it as soon as possible.
Añade esto a la lista.	Add this to the list.
Toque la guitarra un poco.	Play the guitar a little.
Vigílales.	Watch them.
No lo rompas.	Don't break it.
Empiecen ahora.	Begin / start now.
Termínalo cuanto antes.	Finish it as soon as possible.
No lo olvides.	Don't forget (it).
Constrúyelo lo más lejos posible.	Build it as far away as possible.
No los compres.	Don't buy them.
Córtalo lo más corto posible.	Cut it as short as possible.
Tome una cerveza.	Have a beer.
No te caigas.	Don't fall (down).
Encuéntrales.	Find them.
Consígalo lo antes posible.	Get it as soon as possible.
No se enfade usted.	Don't get angry.
Levántese, por favor.	Get up, please.
Dales una oportunidad.	Give them a chance.
Guárdalo en el estante superior.	Keep it on the top shelf.
Sal de la habitación.	Leave the room.
Márchese antes de las tres.	Leave before three o'clock.
No la abandones.	Don't leave her.
Déjamelo a mí.	Leave it to me.
No dejes tus juguetes en la alfombra.	Don't leave your toys on the rug.
No lo pierdas.	Don't lose it.
Déjale hacerlo.	Let him do it.
A ver…	Let me see…
Déjales marcharse.	Let them leave.
Haz un esfuerzo.	Make an effort.
Di solo tu nombre de pila.	Say only your first name.
Diles por qué estás aquí.	Tell them why you're here.
No digas nada.	Don't say anything.
No les digas nada.	Don't tell them anything.
Véndeselo a ese señor.	Sell it to that man.
Mándalo por correo aéreo.	Send it by airmail.
No me lo envíes.	Don't send it to me.
No duermas en camas blandas.	Don't sleep on soft beds.
Hable inglés o márchese.	Speak English or leave.
No gastes tanto dinero.	Don't spend so much money.
Enséñale el alfabeto.	Teach him the alphabet.
Enséñame la foto.	Show me the picture.
Piénsalo.	Think about it.
Contéstales.	Answer them.
Llámame a cualquier hora.	Call me (at) any time.
Cancélalo.	Cancel it.
Cámbialo por otro.	Change it for another (one).
No lo limpies con eso.	Don't clean it with that.
No los cubras.	Don't cover them.
No llores tanto.	Don't cry so much.
Disfruta con ello.	Enjoy it.
Explica todo.	Explain everything.
No les mates.	Don't kill them.
No me mientas.	Don't lie to me.
Muévelo al otro lado del cuarto.	Move it to the other side of the room.
Ofréceselo a ellos.	Offer it to them.
Planifica tus acciones con cuidado.	Plan your actions carefully.
Pide el filete bien hecho.	Order the steak well done.
Prepara tu discurso con antelación.	Prepare your speech in advance.
No me empujes.	Don't push me.
No pintes el techo.	Don't paint the ceiling.
Pásalo a máquina.	Type it.
Que no se te caiga.	Don't drop it.
Compruébalo.	Check it.
No te preocupes.	Don't worry.
Sálvala.	Save her.
Ahorra más dinero.	Save more money.
Quédate donde estás.	Stay where you are.
Utilice este, no aquel.	Use this one, not that one.
No aparques cerca de aquí.	Don't park near here.
No fumes delante de ellos.	Don't smoke in front of them.
Pásame la sal.	Pass me the salt.
Cocínalo lentamente.	Cook it slowly.
No saltes la tapia.	Don't jump over the wall.
Ayúdanos.	Help us.
No asistas a la reunión.	Don't attend the meeting.
Despiértanos antes que a ellos.	Wake us up before them.
No pierdas esta oportunidad.	Don't miss this chance.
Espera hasta que sea la hora.	Wait until it's time.
Llega pronto.	Get there early.
No llegues allí antes que yo.	Don't get there before me.
Llévale al médico.	Take him to the doctor.
Búscales.	Look for them.
Dámelo.	Give it to me.
Dáselo a ellos.	Give it to them.
Dánoslos.	Give them to us.
Dáselo a ella.	Give it to her.
Explícaselo a él.	Explain it to him.
Muéstranoslo.	Show it to us.
Tráemelos.	Bring them to me.
Lléváselos a él.	Take them to him.
Espérame.	Wait for me.
Mírala.	Look at her.
Escúchalo.	Listen to it.
Léemelo.	Read it to me.
Están haciendo algo.	They're doing something.
Estoy jugando.	I'm playing.
Estamos descansando.	We're resting.
Estoy comiendo con mis padres.	I'm eating with my parents.
Él me está enseñando su uniforme.	He's showing me his uniform.
Están viniendo ahora.	They're coming now.
Estoy empezando una nueva vida.	I'm starting a new life.
Estamos escuchando la radio.	We're listening to the radio.
Ella me lo está trayendo ahora mismo.	She's bringing it to me right now.
¿Están mirándome?	Are they looking at me?
¿Por qué están escribiendo eso?	Why are they writing that?
Estoy grabando un CD.	I'm recording a CD.
Estamos buscando un piso.	We're looking for a flat.
¿Por qué estáis esperándoles?	Why are you waiting for them?
Creo que ella está hablando alemán.	I think she's speaking German.
¿Con quién está ella hablando?	Who's she talking to?
Me lo estoy pasando bien.	I'm having a good time.
¿Adónde van?	Where are they going?
Él está abriendo la caja con cuidado.	He's opening the box carefully.
Están lavándolo porque está sucio.	They're washing it because it's dirty.
Él me lo está dando porque es mío.	He's giving it to me because it's mine.
Están alojándose en ese hotel.	They're staying at that hotel.
Estás bebiendo mucho.	You're drinking a lot.
¿Por qué me estás haciendo tantas preguntas?	Why are you asking me so many questions?
Ella es la que lleva una blusa.	She's the one (who's) wearing a blouse.
Está empezando a llover.	It's starting to rain.
Estoy sentado en el suelo.	I'm sitting on the floor.
Alguien está durmiendo en mi cama.	Somebody's sleeping in my bed.
¿Estás leyéndolo?	Are you reading it?
¿Por qué no estás trabajando?	Why aren't you working?
Estoy secando la vajilla.	I'm drying the dishes.
¿Qué haces?	What are you doing?
¿Por qué no estás haciendo nada?	Why aren't you doing anything?
Están corriendo más rápido que yo.	They're running faster than I am.
Me están trayendo regalos.	They're bringing me presents.
Estamos cerrando la tienda.	We're closing the store.
Él está hablando con un acento.	He's speaking with an accent.
Estoy intentando dormir.	I'm trying to sleep.
Están intentando parar el coche.	They're trying to stop the car.
Estamos dándoles algunos problemas.	We're giving them some problems.
Estoy poniéndolo en tus manos.	I'm putting it in your hands.
Estoy levantándome más tarde que antes.	I'm getting up later than before.
Estás bebiendo demasiado.	You're drinking too much.
¿Quién está llevando las maletas?	Who's carrying the suitcases?
¿Con quién estás trabajando ahora?	Who are you working with now?
¿Por qué estás haciéndome esto?	Why are you doing this to me?
Estoy empezando a enfadarme.	I'm starting to get angry.
Estoy haciendo una lista muy larga.	I'm making a very long list.
Están hablando de ti.	They're talking about you.
¿Por qué estás escuchándoles?	Why are you listening to them?
¿Con quién estás jugando?	Who are you playing with?
Están despertándoles ahora.	They're waking them up now.
No estoy comprando nada.	I'm not buying anything.
¿Por qué nos están vigilando?	Why are they watching us?
Estamos viendo la televisión.	We're watching TV.
Estoy empezando a comprenderles.	I'm beginning to understand them.
Se te están olvidando demasiadas cosas.	You're forgetting too many things.
¿Qué estáis aprendiendo?	What are you learning?
Estamos aprendiendo a conducir.	We're learning how to drive.
¿Por qué la estás dejando?	Why are you leaving her?
Están marchándose ahora.	They're leaving now.
Ella está perdiendo su voz.	She's losing her voice.
Me estoy cansando de esto.	I'm getting tired of this.
Se están vistiendo ahora.	They're getting dressed now.
Están comprando todo lo que hay en la tienda.	They're buying everything there is in the store.
¿Por qué lo estás vendiendo?	Why are you selling it?
¿Qué dices?	What are you saying?
¿Qué les estás diciendo?	What are you telling them?
¿Por qué estás dejándoles escapar?	Why are you letting them escape?
Él se marcha de la empresa.	He's leaving the company.
Me lo quedo porque es mío.	I'm keeping it because it's mine.
Te olvidas de algo importante.	You're forgetting something important.
Estás incumpliendo todas las reglas.	You're breaking all the rules.
El euro está cayendo.	The euro is falling.
Estás gastando demasiado dinero.	You're spending too much money.
¿Por qué no estás asistiendo a la reunión?	Why aren't you attending the meeting?
Pienso hacerlo mañana.	I'm planning to do it tomorrow.
¿Cuándo piensas verle?	When are you planning to see him?
Estoy contestando a tus preguntas.	I'm answering your questions.
¿Por qué estás llamándome ahora?	Why are you calling me now?
Llevan paraguas.	They're carrying umbrellas.
¿Por qué estás llorando?	Why are you crying?
Están cambiando el color de la bandera.	They're changing the colour of the flag.
¿Por qué estás explicándomelo?	Why are you explaining it to me?
Nos están tomando el pelo.	They're pulling our leg.
Lo estoy disfrutando mucho.	I'm enjoying it very much.
¿Por qué estás ofreciéndome esto?	Why are you offering this to me?
Estamos abriendo una nueva tienda.	We're opening a new store.
¿Por qué me lo estás devolviendo?	Why are you returning it to me?
¿Por qué te ríes?	Why are you laughing?
¿Por qué sonríes?	Why are you smiling?
Estoy reparando el motor.	I'm repairing the engine.
¿Por qué estás ahorrando tanto?	Why are you saving so much?
Él está pintando un cuadro.	He's painting a picture.
¿Por qué estás gritándoles?	Why are you shouting at them?
¿A quién estás esperando?	Who are you waiting for?
¿Por qué estás señalándome a mí?	Why are you pointing at me?
Están plantando muchos árboles.	They're planting a lot of trees.
¿Por qué me estás haciendo preguntas?	Why are you asking me questions?
Me están pidiendo una subida salarial.	They're asking me for a raise.
Estamos comprobando tu expediente.	We're checking your record.
¿Qué estás cocinando?	What are you cooking?
¿Por qué estás cruzando la calle?	Why are you crossing the street?
Están bailando juntos.	They're dancing together.
Estoy terminando el trabajo.	I'm finishing the job.
Los precios están subiendo.	Prices are going up.
¿Por qué la estás ayudando?	Why are you helping her?
Él está fumando más que de costumbre.	He's smoking more than usual.
Están bajando las escaleras.	They're going down the stairs.
¿Por qué estás lavando los platos?	Why are you washing the dishes?
Estoy mecanografiando el informe.	I'm typing the report.
Él se traslada a Viena, ¿no?	He's moving to Vienna, isn't he?
¿Por qué estás empujándole?	Why are you pushing him?
Estoy trabajando en una empresa extranjera.	I'm working for a foreign company.
¿Quién está llamando a la puerta?	Who's knocking at the door?
¿Con quién estás hablando?	Who are you talking to?
¿Qué piensas hacer?	What are you planning to do?
¿Adónde piensas ir?	Where are you planning to go?
¿A quién piensas llamar?	Who are you planning to call?
¿Cuál piensas elegir, este o aquel?	Which one are you planning to choose, this one or that one?
Estamos intentando convencerle.	We're trying to convince him.
Él está intentando evitarnos.	He's trying to avoid us.
Estamos consiguiendo beneficios.	We're making profits.
Están sufriendo porque tienen hambre.	They're suffering because they're hungry.
Él tiene 40 años.	He's 40 years old.
Tiene tres hijos.	He has three children.
Él tiene coche.	He has a car.
No tiene teléfono.	He doesn't have a telephone.
No tiene despacho.	He doesn't have an office.
Tiene muchos problemas.	He has a lot of problems.
No tiene a mucha gente en su empresa.	He doesn't have many people in his company.
Tiene mucha paciencia.	He has a lot of patience.
No tiene mucho tiempo.	He doesn't have much time.
Tengo 50 años.	I'm 50 years old.
Tengo problemas como todo el mundo.	I have problems like everyone.
No tengo hijos.	I don't have any children.
No tienen suficiente tiempo.	They don't have enough time.
Tenemos algunos problemas.	We have some problems.
¿Tiene él bicicleta?	Does he have a bicycle?
Él no tiene nada.	He doesn't have anything.
¿Quién tiene el cuaderno?	Who has the notebook?
¿Tienes tiempo para verme?	Do you have time to see me?
¿Cuántos hijos tienes?	How many children do you have?
¿Cuánto tiempo tenemos?	How much time do we have?
¿Dónde come él?	Where does he have lunch?
¿A qué hora desayuna él?	What time does he have breakfast?
¿A qué hora cenas?	What time do you have dinner?
¿Le conoces?	Do you know him?
¿Juegan con él a menudo?	Do they play with him often?
Me gusta ese tipo de música.	I like that kind of music.
Él es muy trabajador.	He's a hard worker.
Él sabe mucho acerca de ti.	He knows a lot about you.
Ella va allí todos los sábados.	She goes there every Saturday.
¿Por qué va ella allí?	Why does she go there?
No lo sé.	I don't know.
¿Qué sabes?	What do you know?
Ella toca el piano muy bien.	She plays the piano very well.
Él ve la televisión todo el día.	He watches TV all day.
Ella se despierta temprano los viernes.	She wakes up early on Fridays.
Él gasta mucho dinero.	He spends a lot of money.
¿Por qué gasta tanto dinero?	Why does he spend so much money?
Pregúntale.	Ask him.
Él guarda su dinero en ese banco.	He keeps his money in that bank.
¿Por qué lo guarda allí?	Why does he keep it there?
Porque le gusta guardarlo allí.	Because he likes to keep it there.
¿Es tuyo esto?	Is this yours?
Sí, me pertenece a mí.	Yes, it belongs to me.
¿Cómo sabes que te pertenece?	How do you know it belongs to you?
Porque el mío tiene mi nombre.	Because mine has my name on it.
Él se gana la vida vendiendo coches.	He makes his living selling cars.
¿Vende muchos coches?	Does he sell a lot of cars?
Creo que sí.	I think so.
¿Él me conoce?	Does he know me?
Te conoce y creo que le caes bien.	He knows you and I think he likes you.
¿A qué hora llega él al trabajo?	What time does he get to work?
¿A qué hora deja el trabajo?	What time does he leave work?
¿Qué hace después del trabajo?	What does he do after work?
¿A qué hora se levanta por la mañana?	What time does he get up in the morning?
¿A qué hora sale de casa?	What time does he leave home?
¿A qué hora desayuna?	What time does he have breakfast?
¿Cómo va al trabajo?	How does he get to work?
¿Qué hace en el trabajo?	What does he do at work?
¿Come contigo?	Does he have lunch with you?
¿Con quién come?	Who does he have lunch with?
¿Viaja mucho en su trabajo?	Does he travel a lot in his job?
¿Gana mucho?	Does he earn a lot?
¿Cuánto gana al mes?	How much does he earn a month?
¿A qué hora empieza el trabajo?	What time does he start work?
¿A qué hora termina?	What time does he finish?
Él llega al trabajo a las ocho.	He gets to work at eight o'clock.
Él se levanta a las seis y media.	He gets up at six-thirty.
Él deja el trabajo a la una y cuarto.	He leaves work at one-fifteen.
Va a casa después del trabajo.	He goes home after work.
Sale de casa a las siete y veinte.	He leaves home at seven-twenty.
Va al trabajo en coche.	He drives to work.
Desayuna a las siete menos diez.	He has breakfast at ten to seven.
No come conmigo.	He doesn't have lunch with me.
Él come solo.	He has lunch alone.
¿Por qué come solo?	Why does he have lunch alone?
Porque le gusta.	Because he likes to.
Gana muy poco.	He earns very little.
Empieza el trabajo a las ocho y cinco.	He starts work at five past eight.
Termina a la una y cuarto.	He finishes at one-fifteen.
Ella es tu hermana, ¿no?	She's your sister, isn't she?
¿Es mayor que tú?	Is she older than you?
¿Está casada?	Is she married?
¿Tiene hijos?	Does she have any children?
¿Dónde vive?	Where does she live?
¿Vive en una casa grande?	Does she live in a big house?
¿Te llama a menudo?	Does she call you often?
¿Por qué no te llama?	Why doesn't she call you?
¿Dónde trabaja?	Where does she work?
¿Su marido te conoce bien?	Does her husband know you well?
¿A qué se dedica él?	What does he do?
¿Gana mucho?	Does he earn a lot?
¿Trabaja los sábados?	Does he work on Saturdays?
¿Cómo le gusta su trabajo?	How does he like his job?
¿Pasa mucho tiempo con sus hijos?	Does he spend a lot of time with his children?
¿Vive en un chalet o un piso?	Does he live in a house or a flat?
Ella vive lejos de aquí.	She lives far from here.
Él rompe todo lo que toca.	He breaks everything he touches.
Él toca la guitarra como tú.	He plays the guitar like you do.
Él olvida las cosas fácilmente.	He forgets things easily.
Se enfada cuando pierde.	He gets angry when he loses.
¿Pierde a menudo?	Does he often lose?
Dice lo que piensa.	He says what he thinks.
Cree que estamos locos.	He thinks we're crazy.
¿Tiene razón?	Is he right?
¿Quién sabe?	Who knows?
Solo Dios sabe.	God only knows.
¿Cuántos idiomas habla él?	How many languages does he speak?
¿Qué dice él cuando te ve?	What does he say when he sees you?
No dice nada.	He doesn't say anything.
Él siempre se cae cuando viene aquí.	He always falls over when he comes here.
¿Con qué frecuencia viene aquí?	How often does he come here?
Viene con demasiada frecuencia.	He comes too often.
¿Por qué viene tan frecuentemente?	Why does he come so often?
Porque le gusta.	Because he likes to.
¿Os deja trabajar?	Does he let you work?
Por supuesto que nos deja trabajar.	Of course he lets us work.
¿Os deja descansar de vez en cuando?	Does he let you rest from time to time?
Esa es otra cuestión.	That's another matter.
¿Se queda aquí cuando hay problemas?	Does he stay here when there are problems?
No le gusta quedarse aquí.	He doesn't like to stay here.
Prefiere mandar a un ayudante.	He prefers to send an assistant.
¿Os trata bien?	Does he treat you well?
Nos trata como a todo el mundo.	He treats us like everyone else.
¿Quién vive aquí?	Who lives here?
Nadie vive aquí.	No one lives here.
¿Está la casa vacía?	Is the house empty?
¿Cuántas plantas tiene?	How many floors does it have?
¿Cuántos años tiene?	How old is it?
¿Tiene tejado?	Does it have a roof?
¿Adónde vas?	Where are you going?
¿Siempre vas allí?	Do you always go there?
¿Por qué te gusta ir allí?	Why do you like to go there?
Enséñame tu corbata.	Show me your tie.
¿Dónde compras tu ropa?	Where do you buy your clothes?
¿Cuesta mucho una corbata como esa?	Does a tie like that cost a lot?
¿Cuánto cuesta?	How much does it cost?
¿Por qué cuesta tanto?	Why does it cost so much?
¿Por qué compras corbatas como esa?	Why do you buy ties like that (one)?
Porque me gusta.	Because I like to.
¿Por qué me haces tantas preguntas?	Why are you asking me so many questions?
Porque quiero.	Because I want to.
¿Te gusta hacerme preguntas?	Do you like asking me questions?
Él me lleva a casa todos los días.	He takes me home every day.
Ella me trae aquí cada lunes.	She brings me here every Monday.
¿Por qué hace ella eso?	Why does she do that?
Porque cree que no tengo coche.	Because she thinks I don't have a car.
¿Por qué habla ella tanto?	Why does she talk so much?
Porque nadie le dice que se calle.	Because nobody tells her to be quiet.
¿Sabe ella que estás casado?	Does she know you're married?
¿Paras cuando el semáforo está en rojo?	Do you stop when the light's red?
Sé hablar alemán.	I can speak German.
Escriben para una revista francesa.	They write for a French magazine.
¿Comes mucho?	Do you eat a lot?
Él está gordo porque come demasiado.	He's fat because he eats too much.
¿Cómo se cierra esta puerta?	How do you close this door?
¿Normalmente durante cuánto tiempo les esperas?	How long do you normally wait for them?
Él escucha las noticias cada día.	He listens to the news every day.
¿Es tuyo ese cuadro?	Is that picture yours?
¿Tiene título?	Does it have a title?
¿Cuánto cuesta?	How much does it cost?
¿Qué significa el título?	What does the title mean?
¿Qué significa esta palabra?	What does this word mean?
¿Qué quieres decir?	What do you mean?
¿Sabe todo el mundo dónde estás?	Does everyone know where you are?
¿Te hacen preguntas?	Do they ask you questions?
¿Tienes que contestarlas?	Do you have to answer them?
¿Cómo funciona?	How does it work?
¿Cómo trabaja él?	How does he work?
¿Cómo suena?	How does it sound?
Sé leer y escribir.	I know how to read and write.
¿Sabe él deletrear correctamente?	Does he know how to spell correctly?
Saben todo acerca de nosotros.	They know everything about us.
Si nunca juegas, nunca ganas.	If you never play, you never win.
Asisto a muchas reuniones.	I attend a lot of meetings.
Voy a asistir a una mañana.	I'm going to attend one tomorrow.
¿Qué vas a hacer?	What are you going to do?
No voy a contestar a eso.	I'm not going to answer that.
Vienen aquí bastante a menudo.	They come here quite often.
Siempre hago un esfuerzo.	I always make an effort.
Pienso darte un trabajo.	I'm planning to give you a job.
¿Por qué quieres hacer eso?	Why do you want to do that?
No sé todavía.	I don't know yet.
Todavía estoy pensando en ello.	I'm still thinking about it.
No esperes demasiado.	Don't wait too long.
Te preocupas demasiado.	You worry too much.
¿Por qué te preocupas tanto?	Why do you worry so much?
Él camina como un mono.	He walks like a monkey.
Habla como un loro.	He talks like a parrot.
Trabaja mucho.	He works hard / a lot.
Le gusta trabajar mucho.	He likes to work hard.
Hace muchos trabajos importantes.	He does a lot of important jobs.
Se pone enfermo cuando me ve.	He gets sick / ill when he sees me.
Pierde el control de sí mismo.	He loses control of himself.
Toma demasiadas medicinas.	He takes too much medicine.
Se le olvidan citas importantes.	He forgets important appointments.
Lee mucho pero aprende muy poco.	He reads a lot but learns very little.
Enseña griego por las noches.	He teaches Greek at night.
Él nunca sale con nadie.	He never goes out with anyone.
Se queda en casa los fines de semana.	He stays at home at weekends.
Nunca hace nada salvo leer.	He never does anything but read.
Lleva ropa extraña en casa.	He wears strange clothes at home.
A veces me cuenta un chiste.	Sometimes he tells me a joke.
Pero es una persona callada.	But he's a quiet person.
Habla solo cuando está con amigos.	He talks only when he's with friends.
¿Eres amigo suyo?	Are you a friend of his?
Creo que lo soy.	I think I am.
¿Le gusta hablar contigo?	Does he like to talk to you?
A veces sí y a veces no.	Sometimes he does and sometimes he doesn't.
¿No se quiere casar?	Doesn't he want to get married?
¿No tiene pasatiempos?	Doesn't he have any hobbies?
¿No se da cuenta de que la vida es corta?	Doesn't he realize that life is short?
¿Qué hace cuando está solo?	What does he do when he's alone?
No hace nada.	He doesn't do anything.
¿Le visitas alguna vez?	Do you ever visit him?
Nunca quiere ver a nadie.	He never wants to see anyone.
¡Qué extraño!	How strange!
¿Viaja en su trabajo?	Does he travel as part of his job?
¿Tiene que ver a clientes?	Does he have to see customers?
Tiene que ver a mucha gente.	He has to see a lot of people.
¿Cómo les habla?	How does he talk to them?
Cuando tiene que hablar, habla.	When he has to talk, he talks.
No voy a decirte nada.	I'm not going to tell you anything.
Tú sabes lo que quiero decir.	You know what I mean.
¿Por qué vas a hacer eso?	Why are you going to do that?
Porque hago lo que quiero.	Because I do what I want.
¿Sabes lo que estás diciendo?	Do you know what you're saying?
Simplemente estoy diciendo la verdad.	I'm simply telling the truth.
Me encuentro mal.	I feel bad.
Es porque comes demasiado.	It's because you eat too much.
¿Cómo sabes que como demasiado?	How do you know I eat too much?
Tengo mis fuentes de información.	I have my sources of information.
¿Cuántas espías tienes en la organización?	How many spies do you have in the organization?
Los suficientes como para saber muchas cosas.	Enough to know a lot of things.
¿Cómo se encuentra ella?	How does she feel?
Creo que está mejorando.	I think she's getting better.
¿Se acuerda del accidente?	Does she remember the accident?
No se acuerda de nada.	She doesn't remember anything.
¿Reconoce a la gente?	Does she recognize people?
¿Cuándo va a dejar el hospital?	When's she going to leave hospital?
¿Vais a operarla?	Are you going to operate on her?
¿Dejáis que su familia la visite?	Do you let her family visit her?
¿Cuándo lo vas a comprobar?	When are you going to check it?
¿Qué haces cuando estás aquí?	What do you do when you're here?
¿Quién tiene parientes en América?	Who has relatives in America?
Tengo un tío en Canadá.	I have an uncle in Canada.
¿Habla él inglés?	Does he speak English?
